id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
16521;Medicina Veterinária;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,6596;82;6;0;0,073170732;3,84855E-06
6298;Engenharia Química;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,8812;75;0;0;0;2,11113E-05
57151;Ciências Biológicas;LS;Setor de Ciências Biológicas;M;Bacharelado;Sem evasão;0,8535;72;1;0;0,013888889;3,82323E-05
54546;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,8686;83;1;0;0,012048193;4,14476E-05
23888;Matemática;ED;Setor de Ciências Exatas;N;Licenciatura;Abandono;0,4919;6;3;1;0,5;6,13211E-05
12819;Odontologia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,8151;86;0;0;0;6,80556E-05
22676;Estatística;PH;Setor de Ciências Exatas;N;Bacharelado;Abandono;0,406;40;24;1;0,6;8,21804E-05
36489;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,8392;54;2;0;0,037037037;8,5621E-05
46174;Engenharia de Produção;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,8045;122;9;0;0,073770492;8,57262E-05
42303;Odontologia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,6976;113;4;0;0,03539823;9,26438E-05
69093;Informática Biomédica;CS;Setor de Ciências Exatas;I;Bacharelado;Sem evasão;0,6297;24;2;0;0,083333333;9,31487E-05
43146;Ciências Contábeis;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,6356;77;3;0;0,038961039;0,000101009
52955;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,8534;86;0;0;0;0,000133924
6517;História;AH;Setor de Ciências Humanas;T;ABI;Formatura;0,4016;95;43;0;0,452631579;0,000135701
22339;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Abandono;0,3845;53;24;1;0,452830189;0,000147032
8799;Ciências Biológicas;LS;Setor Palotina;I;Bacharelado;Formatura;0,8927;121;0;0;0;0,000158256
7612;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Abandono;0,442;132;37;1;0,28030303;0,000190139
76407;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Sem evasão;0,7239;22;1;0;0,045454545;0,000194292
53317;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Sem evasão;0,5279;62;10;0;0,161290323;0,000200274
55593;Matemática Industrial;PH;Setor de Ciências Exatas;T;Bacharelado;Abandono;0,7944;30;0;1;0;0,000222738
3460;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,6492;96;15;0;0,15625;0,000255491
